QB,offense
LB,defense
DB,defense
WR,offense
CB,defense
T,offense
DT,defense
DE,defense
C,offense
OLB,defense
OT,offense
G,offense
OL,offense
RB,offense
TE,offense
DL,defense
ILB,defense
LB-DE,defense
NT-DT,defense
FS,defense
DE-LB,defense
P,offense
SS,defense
K,offense
OG,offense
DE-DT,defense
S,defense
FB,offense
"G,T",offense
WR-PR,offense
DE-C,defense
"LS,TE",offense
NT,defense
LS,offense
WR/RB,offense
HB,offense
QB/TE,offense
LT,offense
LG,offense
EDGE,defense
RB-WR,offense
