playerID,playerName,position
15060,Jamie Meder,DT
12816,Lowell Lander,HB
20621,Gene Smith,G
7259,Russ Francis ,TE
12155,John Kerns,T
23515,Larry Webster,DT-DE
10595,Henry Hynoski,FB
4182,Dustin Cohen ,LB
16732,A.J. Ofodile,TE
22885,Elton Veals,RB
20950,Armegis Spearman,LB
23110,Kenny Walker,DE
22943,Danny Villa,T-C-G
8344,Barrett Green,LB
1579,Eddie Benz,E
17012,Al Palewicz,LB
22975,Bob Vogel,T
9772,Eddie Hicks,RB
24401,Martez Wilson,OLB
16522,Jim Norris,DT-T
23435,Damon Watts,DB
21717,Jim Szymanski,DE
24297,Avery Williamson,ILB
2936,Bryan Bulaga,T
3635,Tom Casey,TB-DB
9647,Anthony Henry ,DB
20786,Struggy Smith,DB
17216,Lucas Patterson,DL
4138,Duffy Cobbs,DB
24211,Ray Williams,DB
10491,Jack Hunt,DB
12990,Henry Lawrence,T-G
19031,Brian Rolle,LB
16402,Ed Nickla,T
6549,Joe Ethridge,TE
20868,Snitz Snyder,B
11192,Carroll Johnson ,E
10945,Bruce Jankowski,WR
14394,Don Maynard,E-FL-HB
23206,Pete Walters,G
1700,Erik Bickerstaff,RB
1845,Robert Blakley,WR
16441,John Nix,DT
10083,Joe Hollingsworth,FB
10839,Steven Jackson,RB
1034,Marion Barber,RB
20682,Kevin Smith,DB
772,John Avery,RB
22718,Rocky Uguccioni,E
15934,Randy Moss,WR
9985,Drew Hodgdon,C
1409,Josh Beekman,C-G
23611,Jack Wender,RB
4174,Randy Coffield,LB
27,Sid Abramowitz,T
10361,Jim Huddleston,G-T
15404,Rich Milot,LB
1582,Bob Bercich,DB
9065,Jim Harlan,T
14098,Brandon Marshall,OLB
15657,Chris Moore,WR
15048,Darryl Meadows,DB
20826,Zuriel Smith,WR
5955,Doug Dressler,RB
15789,Dennis Morgan,RB
19792,Darrion Scott,DE
12042,Ike Kelley,LB
7201,Keith Fourcade,LB
7061,Malcom Floyd ,WR
901,Jon Baker,K
7931,Ernest Givins,WR
