Player,Pos,Tm,Cap Hit,year
Ben Roethlisberger,QB,PIT,"$23,950,000",2016
Matt Ryan,QB,ATL,"$23,750,000",2016
Joe Flacco,QB,BAL,"$22,550,000",2016
Kirk Cousins,QB,WAS,"$19,953,000",2016
Cam Newton,QB,CAR,"$19,500,000",2016
Aaron Rodgers,QB,GNB,"$19,250,000",2016
Justin Houston,LB,KAN,"$19,100,000",2016
Andrew Luck,QB,IND,"$18,400,000",2016
Sam Bradford,QB,MIN,"$18,000,000",2016
Alex Smith,QB,KAN,"$17,800,000",2016
Eli Manning,QB,NYG,"$17,500,000",2016
Matthew Stafford,QB,DET,"$17,000,000",2016
Darrelle Revis,DB,NYJ,"$17,000,000",2016
Jay Cutler,QB,CHI,"$17,000,000",2016
Philip Rivers,QB,SDG,"$16,500,000",2016
Julio Jones,WR,ATL,"$15,900,000",2016
Demaryius Thomas,WR,DEN,"$15,200,000",2016
Lawrence Timmons,LB,PIT,"$15,131,250",2016
Alshon Jeffery,WR,CHI,"$14,599,000",2016
Trumaine Johnson,CB,LAR,"$13,952,000",2016
Clay Matthews,LB,GNB,"$13,750,000",2016
Joe Haden,DB,CLE,"$13,400,000",2016
Kelechi Osemele,T,OAK,"$13,200,000",2016
Andy Dalton,QB,CIN,"$13,100,000",2016
A.J. Green,WR,CIN,"$13,000,000",2016
Ndamukong Suh,DT,MIA,"$12,600,000",2016
Richard Sherman,DB,SEA,"$12,569,000",2016
Bruce Irvin,DE,OAK,"$12,500,000",2016
Jeremy Maclin,WR,KAN,"$12,400,000",2016
Russell Wilson,QB,SEA,"$12,342,000",2016
Brock Osweiler,QB,HOU,"$12,000,000",2016
Sam Shields,DB,GNB,"$12,000,000",2016
Colin Kaepernick,QB,SFO,"$11,900,000",2016
Antonio Brown,WR,PIT,"$11,883,333",2016
Ryan Kalil,C,CAR,"$11,829,000",2016
Ryan Tannehill,QB,MIA,"$11,640,000",2016
Marcell Dareus,DT,BUF,"$11,514,705",2016
Jeremiah Attaochu,OLB,SDG,"$11,463,000",2016
Matt Kalil,OT,MIN,"$11,096,000",2016
Stephon Gilmore,CB,BUF,"$11,082,000",2016
Larry Fitzgerald,WR,ARI,"$11,000,000",2016
T.Y. Hilton,WR,IND,"$11,000,000",2016
Sean Smith,DB,OAK,"$11,000,000",2016
Michael Crabtree,WR,OAK,"$11,000,000",2016
Eric Berry,DB,KAN,"$10,806,000",2016
Maurkice Pouncey,C,PIT,"$10,551,000",2016
Julius Peppers,DE,GNB,"$10,500,000",2016
J.J. Watt,DE,HOU,"$10,500,000",2016
Cameron Heyward,DE,PIT,"$10,400,000",2016
Branden Albert,G,MIA,"$10,150,000",2016
Mike Pouncey,OL,MIA,"$10,025,000",2016
Corey Liuget,DT,SDG,"$10,000,000",2016
Lavonte David,OLB,TAM,"$10,000,000",2016
Malik Jackson,DT,JAX,"$10,000,000",2016
Aqib Talib,DB,DEN,"$9,968,750",2016
Anthony Castonzo,OL,IND,"$9,800,000",2016
Vincent Jackson,WR,TAM,"$9,777,777",2016
Patrick Peterson,CB,ARI,"$9,750,000",2016
Brandon Flowers,DB,SDG,"$9,750,000",2016
Geno Atkins,DT,CIN,"$9,600,000",2016
Jonathan Stewart,RB,CAR,"$9,550,000",2016
Brandon Marshall,WR,NYJ,"$9,500,000",2016
Lardarius Webb,DB,BAL,"$9,500,000",2016
Duane Brown,G,HOU,"$9,500,000",2016
Joe Thomas,T,CLE,"$9,500,000",2016
Calais Campbell,DE,ARI,"$9,500,000",2016
Randall Cobb,WR,GNB,"$9,150,000",2016
Allen Hurns,WR,JAX,"$9,001,668",2016
Chris Harris,CB,DEN,"$9,000,000",2016
Dez Bryant,WR,DAL,"$9,000,000",2016
Dwayne Allen,TE,IND,"$8,906,250",2016
Jimmy Graham,TE,SEA,"$8,900,000",2016
Jason McCourty,DB,TEN,"$8,800,000",2016
Cameron Wake,LB,MIA,"$8,525,000",2016
Byron Maxwell,DB,MIA,"$8,500,000",2016
Tony Romo,QB,DAL,"$8,500,000",2016
Kareem Jackson,DB,HOU,"$8,437,500",2016
Vontae Davis,DB,IND,"$8,375,000",2016
