Player,Pos,Tm,Cap Hit,year
Greg Robinson,,STL,"$4,837,295",2015
DeAngelo Hall,,WAS,"$4,812,500",2015
Riley Cooper,,PHI,"$4,800,000",2015
Chase Daniel,,KAN,"$4,800,000",2015
Brent Celek,,PHI,"$4,800,000",2015
Reggie Nelson,,CIN,"$4,775,000",2015
K.J. Wright,,SEA,"$4,750,000",2015
Nick Fairley,,STL,"$4,750,000",2015
Rob Ninkovich,,NWE,"$4,750,000",2015
Antoine Bethea,,SFO,"$4,750,000",2015
Malcom Floyd,,SDG,"$4,716,668",2015
Blake Bortles,,JAX,"$4,694,275",2015
Sammie Lee Hill,,TEN,"$4,666,668",2015
Cary Williams,,2TM,"$4,666,666",2015
Julian Edelman,,NWE,"$4,656,250",2015
Doug Baldwin,,SEA,"$4,650,000",2015
Jameis Winston,,TAM,"$4,609,323",2015
Linval Joseph,,MIN,"$4,600,000",2015
Dan Skuta,,JAX,"$4,600,000",2015
Orlando Franklin,,SDG,"$4,600,000",2015
Jordan Cameron,,MIA,"$4,562,500",2015
Sammy Watkins,,BUF,"$4,530,819",2015
Dwayne Bowe,,CLE,"$4,500,000",2015
Earl Mitchell,,MIA,"$4,500,000",2015
Frank Gore,,IND,"$4,500,000",2015
Keenan Lewis,,NOR,"$4,500,000",2015
Derek Newton,,HOU,"$4,500,000",2015
William Hayes,,STL,"$4,480,000",2015
Brian Orakpo,,TEN,"$4,468,750",2015
Barkevious Mingo,,CLE,"$4,458,273",2015
Corey Graham,,BUF,"$4,450,000",2015
Koa Misi,,MIA,"$4,438,000",2015
Marcus Mariota,,TEN,"$4,402,541",2015
Jason Kelce,,PHI,"$4,400,000",2015
DeAndre Levy,,DET,"$4,400,000",2015
Mike Scifres,,SDG,"$4,347,500",2015
Captain Munnerlyn,,MIN,"$4,333,333",2015
Kory Lichtensteiger,,WAS,"$4,300,000",2015
Kenny Britt,,STL,"$4,300,000",2015
James Laurinaitis,,STL,"$4,275,000",2015
Brandon Flowers,,SDG,"$4,250,000",2015
Mike Neal,,GNB,"$4,250,000",2015
Bruce Carter,,TAM,"$4,250,000",2015
Erik Walden,,IND,"$4,250,000",2015
Stephen Paea,,WAS,"$4,250,000",2015
Kendall Langford,,IND,"$4,250,000",2015
Alterraun Verner,,TAM,"$4,250,000",2015
Khalil Mack,,OAK,"$4,244,773",2015
Charles Woodson,,OAK,"$4,200,000",2015
Cameron Jordan,,NOR,"$4,169,000",2015
Steve Smith,,BAL,"$4,166,666",2015
Jon Beason,,NYG,"$4,154,166",2015
Heath Miller,,PIT,"$4,151,666",2015
Phil Dawson,,SFO,"$4,134,000",2015
King Dunlap,,SDG,"$4,125,000",2015
Amari Cooper,,OAK,"$4,120,566",2015
Darren Sproles,,PHI,"$4,100,000",2015
Donald Brown,,SDG,"$4,083,333",2015
Chris Culliver,,WAS,"$4,073,529",2015
Perry Riley,,WAS,"$4,049,804",2015
Nick Foles,,STL,"$4,042,000",2015
David Hawthorne,,NOR,"$4,010,000",2015
Luke Kuechly,,CAR,"$4,002,283",2015
Terrance Knighton,,WAS,"$4,000,000",2015
Derrick Morgan,,TEN,"$4,000,000",2015
Shawn Lauvao,,WAS,"$4,000,000",2015
Percy Harvin,,BUF,"$4,000,000",2015
Jabaal Sheard,,NWE,"$4,000,000",2015
Malcolm Smith,,OAK,"$4,000,000",2015
Dashon Goldson,,WAS,"$4,000,000",2015
Jason Jones,,DET,"$3,983,333",2015
Evander Hood,,CHI,"$3,975,000",2015
Jonathan Cooper,,ARI,"$3,967,910",2015
Terrell Suggs,,BAL,"$3,950,000",2015
Garrett Graham,,HOU,"$3,921,875",2015
Josh McCown,,CLE,"$3,916,666",2015
Aaron Williams,,BUF,"$3,900,000",2015
Daryl Smith,,BAL,"$3,875,000",2015
Drew Stanton,,ARI,"$3,866,668",2015
Brandon Scherff,,WAS,"$3,857,388",2015
Roy Miller,,JAX,"$3,850,000",2015
Sean Weatherspoon,,ARI,"$3,850,000",2015
Marcedes Lewis,,JAX,"$3,850,000",2015
Stephon Gilmore,,BUF,"$3,844,959",2015
Dustin Colquitt,,KAN,"$3,800,000",2015
Brandon Pettigrew,,DET,"$3,800,000",2015
Andre Roberts,,WAS,"$3,750,000",2015
Evan Dietrich-Smith,,TAM,"$3,750,000",2015
Mark Sanchez,,PHI,"$3,750,000",2015
Henry Melton,,TAM,"$3,750,000",2015
Alex Boone,,SFO,"$3,723,000",2015
Jeremy Zuttah,,BAL,"$3,700,000",2015
Domata Peko,,CIN,"$3,700,000",2015
Da'Norris Searcy,,TEN,"$3,625,000",2015
Ropati Pitoitua,,TEN,"$3,612,500",2015
Sebastian Janikowski,,OAK,"$3,610,000",2015
Dontari Poe,,KAN,"$3,601,822",2015
Jimmy Smith,,BAL,"$3,600,000",2015
Robbie Gould,,CHI,"$3,600,000",2015
Stephen Gostkowski,,NWE,"$3,600,000",2015
Torrey Smith,,SFO,"$3,600,000",2015
Marcel Reece,,OAK,"$3,580,838",2015
Glover Quin,,DET,"$3,572,500",2015
Bryan Bulaga,,GNB,"$3,568,750",2015
Mason Crosby,,GNB,"$3,550,000",2015
Wesley Woodyard,,TEN,"$3,500,000",2015
Brandon LaFell,,NWE,"$3,500,000",2015
Joique Bell,,DET,"$3,500,000",2015
William Moore,,ATL,"$3,500,000",2015
Vince Wilfork,,HOU,"$3,500,000",2015
Brandon Fusco,,MIN,"$3,485,000",2015
Tavon Austin,,STL,"$3,477,546",2015
Dee Milliner,,NYJ,"$3,453,010",2015
Mike Tolbert,,CAR,"$3,425,000",2015
Jeremy Maclin,,KAN,"$3,400,000",2015
Thomas Morstead,,NOR,"$3,400,000",2015
Leonard Williams,,NYJ,"$3,387,430",2015
Dexter McCluster,,TEN,"$3,350,000",2015
Lee Smith,,OAK,"$3,350,000",2015
Erik Pears,,SFO,"$3,350,000",2015
Perrish Cox,,TEN,"$3,333,333",2015
Mike Evans,,TAM,"$3,325,341",2015
Steven Hauschka,,SEA,"$3,325,000",2015
Chance Warmack,,TEN,"$3,318,177",2015
Matt Slauson,,CHI,"$3,267,500",2015
Fletcher Cox,,PHI,"$3,258,036",2015
Marcus Gilbert,,PIT,"$3,256,000",2015
Shaun Hill,,MIN,"$3,250,000",2015
Ryan Fitzpatrick,,NYJ,"$3,250,000",2015
Barry Church,,DAL,"$3,250,000",2015
Clinton McDonald,,TAM,"$3,250,000",2015
Walter Thurmond,,PHI,"$3,250,000",2015
Allen Bailey,,KAN,"$3,231,250",2015
Zach Strief,,NOR,"$3,200,000",2015
Michael Crabtree,,OAK,"$3,200,000",2015
Shareece Wright,,BAL,"$3,200,000",2015
Pat McAfee,,IND,"$3,200,000",2015
Ryan Mallett,,2TM,"$3,187,500",2015
Michael Floyd,,ARI,"$3,172,750",2015
Willie Young,,CHI,"$3,166,666",2015
T.Y. Hilton,,IND,"$3,131,850",2015
Marcus Gilchrist,,NYJ,"$3,125,000",2015
Danny Amendola,,NWE,"$3,116,666",2015
D.J. Fluker,,SDG,"$3,109,771",2015
Jermaine Gresham,,ARI,"$3,109,375",2015
Manny Lawson,,BUF,"$3,100,000",2015
Graham Gano,,CAR,"$3,100,000",2015
Mike Adams,,IND,"$3,100,000",2015
Vincent Rey,,CIN,"$3,100,000",2015
Golden Tate,,DET,"$3,096,250",2015
Joe Reitz,,IND,"$3,062,500",2015
Greg Hardy,,DAL,"$3,041,379",2015
Michael Brockers,,STL,"$3,029,727",2015
Mychal Kendricks,,PHI,"$3,014,141",2015
Rahim Moore,,HOU,"$3,000,000",2015
Matt Hasselbeck,,IND,"$3,000,000",2015
Chris Harris,,DEN,"$3,000,000",2015
Max Unger,,NOR,"$3,000,000",2015
Paul Soliai,,ATL,"$3,000,000",2015
Aldon Smith,,OAK,"$3,000,000",2015
Toby Gerhart,,JAX,"$3,000,000",2015
Doug Free,,DAL,"$3,000,000",2015
Alan Ball,,CHI,"$3,000,000",2015
Tyson Alualu,,JAX,"$3,000,000",2015
Manuel Ramirez,,DET,"$3,000,000",2015
DeMeco Ryans,,PHI,"$3,000,000",2015
Chris Baker,,WAS,"$2,984,375",2015
Whitney Mercilus,,HOU,"$2,979,030",2015
Bobby Wagner,,SEA,"$2,970,663",2015
Randy Starks,,CLE,"$2,968,750",2015
Evan Mathis,,DEN,"$2,921,875",2015
Akeem Ayers,,STL,"$2,921,875",2015
Justin Gilbert,,CLE,"$2,916,705",2015
Nolan Carroll,,PHI,"$2,900,000",2015
Anthony Barr,,MIN,"$2,896,250",2015
Bruce Irvin,,SEA,"$2,895,542",2015
Devin Hester,,ATL,"$2,875,000",2015
Geoff Schwartz,,NYG,"$2,845,833",2015
John Greco,,CLE,"$2,825,000",2015
Mackenzy Bernadeau,,DAL,"$2,824,166",2015
D.J. Hayden,,OAK,"$2,815,554",2015
Rashad Jennings,,NYG,"$2,812,500",2015
Steve McLendon,,PIT,"$2,808,334",2015
Quinton Coples,,2TM,"$2,800,889",2015
Tramaine Brock,,SFO,"$2,790,000",2015
Eric Ebron,,DET,"$2,783,898",2015
Kevin Huber,,CIN,"$2,770,000",2015
Buster Skrine,,NYJ,"$2,750,000",2015
Chris Ivory,,NYJ,"$2,750,000",2015
Adam Vinatieri,,IND,"$2,750,000",2015
George Johnson,,TAM,"$2,750,000",2015
Owen Daniels,,DEN,"$2,750,000",2015
Dre Kirkpatrick,,CIN,"$2,743,680",2015
Melvin Ingram,,SDG,"$2,672,166",2015
Rolando McClain,,DAL,"$2,636,029",2015
Shea McClellin,,CHI,"$2,629,263",2015
Mike DeVito,,KAN,"$2,620,000",2015
Star Lotulelei,,CAR,"$2,619,409",2015
Ereck Flowers,,NYG,"$2,616,676",2015
Marcus Cannon,,NWE,"$2,616,666",2015
Kendall Wright,,TEN,"$2,614,962",2015
Taylor Lewan,,TEN,"$2,610,228",2015
Chandler Jones,,NWE,"$2,600,659",2015
Michael Johnson,,CIN,"$2,600,000",2015
Al Woods,,TEN,"$2,600,000",2015
Ahtyba Rubin,,SEA,"$2,600,000",2015
Jeremy Kerley,,NYJ,"$2,600,000",2015
Matt Moore,,MIA,"$2,600,000",2015
Kenny Vaccaro,,NOR,"$2,570,376",2015
Adam Jones,,CIN,"$2,550,000",2015
Sean Richardson,,GNB,"$2,550,000",2015
Riley Reiff,,DET,"$2,543,450",2015
Shane Vereen,,NYG,"$2,516,666",2015
Todd Gurley,,STL,"$2,513,306",2015
Michael Mitchell,,PIT,"$2,508,750",2015
Gosder Cherilus,,TAM,"$2,500,000",2015
Greg Jennings,,MIA,"$2,500,000",2015
Stefen Wisniewski,,JAX,"$2,500,000",2015
Charlie Whitehurst,,2TM,"$2,500,000",2015
Cam Thomas,,PIT,"$2,500,000",2015
Sergio Brown,,JAX,"$2,500,000",2015
Darius Butler,,IND,"$2,500,000",2015
Danny Woodhead,,SDG,"$2,500,000",2015
Dan Bailey,,DAL,"$2,500,000",2015
Josh Scobee,,PIT,"$2,500,000",2015
Demar Dotson,,TAM,"$2,500,000",2015
David DeCastro,,PIT,"$2,486,240",2015
Letroy Guion,,GNB,"$2,485,294",2015
Dont'a Hightower,,NWE,"$2,457,637",2015
Terence Newman,,MIN,"$2,453,125",2015
Cecil Shorts,,HOU,"$2,453,125",2015
Robert Ayers,,NYG,"$2,437,500",2015
Ted Larsen,,ARI,"$2,435,000",2015
Sheldon Richardson,,NYJ,"$2,431,647",2015
EJ Manuel,,BUF,"$2,423,264",2015
Michael Oher,,CAR,"$2,421,875",2015
Will Hill,,BAL,"$2,416,045",2015
Reggie Bush,,SFO,"$2,406,250",2015
Kevin Zeitler,,CIN,"$2,400,427",2015
Sam Koch,,BAL,"$2,400,000",2015
Ryan Wendell,,NWE,"$2,400,000",2015
Ben Grubbs,,KAN,"$2,400,000",2015
Brandon Browner,,NOR,"$2,400,000",2015
Eugene Sims,,STL,"$2,391,686",2015
Nick Perry,,GNB,"$2,386,125",2015
James Carpenter,,NYJ,"$2,375,000",2015
Jarvis Jones,,PIT,"$2,374,228",2015
Johnny Hekker,,STL,"$2,373,773",2015
Odell Beckham,,NYG,"$2,365,045",2015
Mark Barron,,STL,"$2,362,704",2015
Dan Carpenter,,BUF,"$2,362,500",2015
Derrick Shelby,,MIA,"$2,356,000",2015
Rodney McLeod,,STL,"$2,356,000",2015
Cedric Thornton,,PHI,"$2,356,000",2015
Rod Streater,,OAK,"$2,356,000",2015
Damon Harrison,,NYJ,"$2,356,000",2015
T.J. McDonald,,STL,"$2,356,000",2015
Jerrell Freeman,,IND,"$2,356,000",2015
Emmanuel Lamur,,CIN,"$2,356,000",2015
Justin Tucker,,BAL,"$2,356,000",2015
Tashaun Gipson,,CLE,"$2,356,000",2015
Craig Robertson,,CLE,"$2,356,000",2015
Jermaine Kearse,,SEA,"$2,356,000",2015
Trae Waynes,,MIN,"$2,353,520",2015
Britton Colquitt,,DEN,"$2,350,000",2015
Glenn Dorsey,,SFO,"$2,341,666",2015
Eric Reid,,SFO,"$2,312,931",2015
Aaron Donald,,STL,"$2,303,750",2015
Tom Johnson,,MIN,"$2,300,000",2015
Harry Douglas,,TEN,"$2,283,333",2015
Justin Pugh,,NYG,"$2,276,154",2015
Harrison Smith,,MIN,"$2,271,355",2015
Craig Stevens,,TEN,"$2,270,000",2015
Kyle Long,,CHI,"$2,263,896",2015
Tyler Eifert,,CIN,"$2,251,637",2015
Jonathan Babineaux,,ATL,"$2,250,000",2015
Scott Chandler,,NWE,"$2,250,000",2015
Jimmy Wilson,,SDG,"$2,250,000",2015
Brian Hartline,,CLE,"$2,250,000",2015
Tyson Jackson,,ATL,"$2,250,000",2015
Jeremy Mincey,,DAL,"$2,250,000",2015
Calvin Pace,,NYJ,"$2,250,000",2015
Blair Walsh,,MIN,"$2,239,483",2015
Rashad Johnson,,ARI,"$2,233,334",2015
Miles Austin,,PHI,"$2,225,000",2015
Sharrif Floyd,,MIN,"$2,202,600",2015
Kyle Fuller,,CHI,"$2,201,591",2015
Roddy White,,ATL,"$2,200,000",2015
Brooks Reed,,ATL,"$2,200,000",2015
Virgil Green,,DEN,"$2,200,000",2015
Kraig Urbik,,BUF,"$2,200,000",2015
Frostee Rucker,,ARI,"$2,181,875",2015
Ryan Shazier,,PIT,"$2,160,730",2015
Doug Martin,,TAM,"$2,159,668",2015
Bjoern Werner,,IND,"$2,153,562",2015
Alan Branch,,NWE,"$2,150,000",2015
Ramon Foster,,PIT,"$2,150,000",2015
Bradley Fletcher,,NWE,"$2,131,250",2015
Xavier Rhodes,,MIN,"$2,129,046",2015
Danny Shelton,,CLE,"$2,127,939",2015
Steve Johnson,,SDG,"$2,100,000",2015
Roy Helu,,OAK,"$2,100,000",2015
Joe Barksdale,,SDG,"$2,095,000",2015
Cullen Jenkins,,NYG,"$2,091,668",2015
Shane Lechler,,HOU,"$2,083,334",2015
Donnie Jones,,PHI,"$2,083,333",2015
DeAndre Hopkins,,HOU,"$2,080,010",2015
Andrus Peat,,NOR,"$2,071,544",2015
Sylvester Williams,,DEN,"$2,067,750",2015
Wallace Gilberry,,CIN,"$2,050,000",2015
Andy Lee,,CLE,"$2,050,000",2015
Datone Jones,,GNB,"$2,039,436",2015
Zack Martin,,DAL,"$2,038,136",2015
Anthony Fasano,,TEN,"$2,031,250",2015
Tarell Brown,,NWE,"$2,000,000",2015
Ron Parker,,KAN,"$2,000,000",2015
Cory Redding,,ARI,"$2,000,000",2015
Matt Cassel,,2TM,"$2,000,000",2015
Bilal Powell,,NYJ,"$2,000,000",2015
Cole Beasley,,DAL,"$2,000,000",2015
Brett Kern,,TEN,"$2,000,000",2015
Lyle Sendlein,,ARI,"$2,000,000",2015
C.J. Spiller,,NOR,"$2,000,000",2015
Kelvin Sheppard,,MIA,"$2,000,000",2015
Ricky Jean-Francois,,WAS,"$2,000,000",2015
J.T. Thomas,,NYG,"$2,000,000",2015
Patrick Robinson,,SDG,"$2,000,000",2015
Mark Ingram,,NOR,"$2,000,000",2015
Antonio Smith,,DEN,"$2,000,000",2015
Patrick Chung,,NWE,"$2,000,000",2015
Brice McCain,,MIA,"$2,000,000",2015
Ryan Mathews,,PHI,"$2,000,000",2015
Matt Schaub,,BAL,"$2,000,000",2015
James Ihedigbo,,DET,"$2,000,000",2015
C.J. Mosley,,BAL,"$1,997,273",2015
DeVante Parker,,MIA,"$1,977,553",2015
Cordarrelle Patterson,,MIN,"$1,969,377",2015
Rafael Bush,,NOR,"$1,950,000",2015
Mike Nugent,,CIN,"$1,950,000",2015
Jerricho Cotchery,,CAR,"$1,950,000",2015
Calvin Pryor,,NYJ,"$1,946,194",2015
Melvin Gordon,,SDG,"$1,939,958",2015
Alec Ogletree,,STL,"$1,917,282",2015
Ryan Succop,,TEN,"$1,916,666",2015
Ja'Wuan James,,MIA,"$1,915,545",2015
Brandin Cooks,,NOR,"$1,905,330",2015
Ben Watson,,NOR,"$1,900,000",2015
Jeff Cumberland,,NYJ,"$1,900,000",2015
Jim Dray,,CLE,"$1,900,000",2015
Dannell Ellerbe,,NOR,"$1,900,000",2015
Ha Ha Clinton-Dix,,GNB,"$1,895,114",2015
Todd Herremans,,IND,"$1,875,000",2015
Daniel Kilgore,,SFO,"$1,875,000",2015
Johnny Manziel,,CLE,"$1,874,681",2015
Travis Frederick,,DAL,"$1,873,644",2015
Jay Ratliff,,CHI,"$1,859,375",2015
Dee Ford,,KAN,"$1,854,250",2015
A.J. Hawk,,CIN,"$1,850,000",2015
