Player,Pos,Tm,Cap Hit,year
Dak Prescott,QB,DAL,"$31,409,000",2020
Jimmy Garoppolo,QB,SFO,"$23,800,000",2020
Trent Brown,OT,LVR,"$21,250,000",2020
Derek Carr,QB,LVR,"$18,900,000",2020
Russell Wilson,QB,SEA,"$18,000,000",2020
A.J. Green,WR,CIN,"$17,971,000",2020
Ryan Tannehill,QB,TEN,"$17,500,000",2020
Aaron Donald,DT,LAR,"$17,000,000",2020
Matt Judon,DE,BAL,"$16,808,000",2020
Leonard Williams,DT,NYG,"$16,126,000",2020
Chris Jones,DT,KAN,"$16,126,000",2020
Taylor Lewan,OT,TEN,"$16,000,000",2020
Chandler Jones,DE,ARI,"$16,000,000",2020
Alex Smith,QB,WAS,"$16,000,000",2020
Shaquil Barrett,OLB,TAM,"$15,828,000",2020
Bud Dupree,DE,PIT,"$15,828,000",2020
J.J. Watt,DE,HOU,"$15,500,000",2020
Brandon Scherff,G,WAS,"$15,030,000",2020
Tom Brady,QB,TAM,"$15,000,000",2020
Joe Thuney,OG,NWE,"$14,781,000",2020
T.Y. Hilton,WR,IND,"$14,542,000",2020
Donovan Smith,OT,TAM,"$14,500,000",2020
Stefon Diggs,WR,BUF,"$14,200,000",2020
Odell Beckham Jr.,WR,CLE,"$14,000,000",2020
Melvin Ingram,DE,LAC,"$14,000,000",2020
Khalil Mack,OLB,CHI,"$13,300,000",2020
Jarvis Landry,WR,CLE,"$13,000,000",2020
Philip Rivers,QB,IND,"$13,000,000",2020
A.J. Bouye,CB,DEN,"$13,000,000",2020
Stephon Gilmore,CB,NWE,"$13,000,000",2020
Russell Okung,T,CAR,"$13,000,000",2020
Myles Jack,OLB,JAX,"$12,750,000",2020
Kawann Short,DT,CAR,"$12,500,000",2020
Trent Williams,T,SFO,"$12,500,000",2020
DeForest Buckner,DT,IND,"$12,378,000",2020
Patrick Peterson,CB,ARI,"$12,050,000",2020
Frank Clark,DE,KAN,"$12,000,000",2020
Davante Adams,WR,GNB,"$12,000,000",2020
Xavien Howard,CB,MIA,"$11,900,000",2020
Sheldon Richardson,DT,CLE,"$11,900,000",2020
Ryan Kerrigan,DE,WAS,"$11,500,000",2020
Justin Simmons,FS,DEN,"$11,441,000",2020
Anthony Harris,DB,MIN,"$11,441,000",2020
Jurrell Casey,DL,DEN,"$11,250,000",2020
Julio Jones,WR,ATL,"$11,200,000",2020
Tyrann Mathieu,CB,KAN,"$11,150,000",2020
Trey Flowers,DE,DET,"$11,125,000",2020
Geno Atkins,DT,CIN,"$11,100,000",2020
Larry Fitzgerald,WR,ARI,"$11,000,000",2020
Kareem Jackson,DB,DEN,"$11,000,000",2020
Byron Jones,CB,MIA,"$11,000,000",2020
Malcolm Butler,CB,TEN,"$11,000,000",2020
Allen Robinson,WR,CHI,"$10,900,000",2020
Laremy Tunsil,OT,HOU,"$10,850,000",2020
Bobby Wagner,ILB,SEA,"$10,750,000",2020
Lavonte David,OLB,TAM,"$10,750,000",2020
Hunter Henry,TE,LAC,"$10,607,000",2020
David Bakhtiari,OT,GNB,"$10,500,000",2020
Whitney Mercilus,DE,HOU,"$10,500,000",2020
Akiem Hicks,DE,CHI,"$10,200,000",2020
David Johnson,RB,HOU,"$10,200,000",2020
Will Fuller,WR,HOU,"$10,162,000",2020
Kevin Zeitler,G,NYG,"$10,000,000",2020
Ryan Jensen,T,TAM,"$10,000,000",2020
Marcus Peters,CB,BAL,"$10,000,000",2020
Anthony Barr,OLB,MIN,"$10,000,000",2020
Amari Cooper,WR,DAL,"$10,000,000",2020
Landon Collins,SS,WAS,"$10,000,000",2020
William Jackson III,CB,CIN,"$9,954,000",2020
Alshon Jeffery,WR,PHI,"$9,910,000",2020
Casey Hayward,DB,LAC,"$9,750,000",2020
Rodger Saffold,T,TEN,"$9,500,000",2020
Kirk Cousins,QB,MIN,"$9,500,000",2020
Gabe Jackson,OG,LVR,"$9,350,000",2020
Rob Gronkowski,TE,TAM,"$9,000,000",2020
Andrew Norwell,G,JAX,"$9,000,000",2020
Stephon Tuitt,DT,PIT,"$9,000,000",2020
Eric Fisher,OT,KAN,"$8,750,000",2020
Duane Brown,T,SEA,"$8,750,000",2020
Trai Turner,OG,LAC,"$8,500,000",2020
Jamison Crowder,WR,NYJ,"$8,500,000",2020
Tyler Lockett,WR,SEA,"$8,500,000",2020
Travis Kelce,TE,KAN,"$8,500,000",2020
Joel Bitonio,OT,CLE,"$8,500,000",2020
Kenyan Drake,RB,ARI,"$8,483,000",2020
Ronnie Stanley,OT,BAL,"$8,366,000",2020
Harrison Smith,FS,MIN,"$8,350,000",2020
Tre'Davious White,CB,BUF,"$8,250,000",2020
Tyrone Crawford,DE,DAL,"$8,000,000",2020
Justin Houston,LB,IND,"$8,000,000",2020
Brandin Cooks,WR,HOU,"$8,000,000",2020
Richard Sherman,DB,SFO,"$8,000,000",2020
Yannick Ngakoue,OLB,2TM,"$8,000,000",2020
Teddy Bridgewater,QB,CAR,"$8,000,000",2020
