Player,Pos,Tm,Cap Hit,year
Kirk Cousins,QB,WAS,"$23,943,600",2017
Trumaine Johnson,CB,LAR,"$16,742,400",2017
Von Miller,LB,DEN,"$16,500,000",2017
Josh Norman,CB,WAS,"$16,500,000",2017
Justin Houston,LB,KAN,"$16,350,000",2017
Matt Ryan,QB,ATL,"$15,750,000",2017
Carson Palmer,QB,ARI,"$15,500,000",2017
Muhammad Wilkerson,DT,NYJ,"$14,750,000",2017
Sam Bradford,QB,MIN,"$14,000,000",2017
Malik Jackson,DT,JAX,"$13,500,000",2017
Gerald McCoy,DT,TAM,"$13,250,000",2017
Cam Newton,QB,CAR,"$13,166,666",2017
Andy Dalton,QB,CIN,"$13,100,000",2017
Drew Brees,QB,NOR,"$13,000,000",2017
Dez Bryant,WR,DAL,"$13,000,000",2017
Eli Manning,QB,NYG,"$13,000,000",2017
Janoris Jenkins,CB,NYG,"$12,900,000",2017
Ezekiel Ansah,DE,DET,"$12,734,000",2017
Russell Wilson,QB,SEA,"$12,600,000",2017
Aaron Rodgers,QB,GNB,"$12,550,000",2017
Le'Veon Bell,RB,PIT,"$12,120,000",2017
Ben Roethlisberger,QB,PIT,"$12,000,000",2017
Olivier Vernon,DE,NYG,"$11,750,000",2017
Julio Jones,WR,ATL,"$11,500,000",2017
Richard Sherman,DB,SEA,"$11,431,000",2017
Trent Williams,T,WAS,"$11,250,000",2017
Larry Fitzgerald,WR,ARI,"$11,000,000",2017
Aqib Talib,DB,DEN,"$11,000,000",2017
Philip Rivers,QB,LAC,"$11,000,000",2017
Alex Smith,QB,KAN,"$10,800,000",2017
J.J. Watt,DE,HOU,"$10,500,000",2017
A.J. Green,WR,CIN,"$10,300,000",2017
Clay Matthews,LB,GNB,"$10,100,000",2017
Ndamukong Suh,DT,MIA,"$9,985,000",2017
Marcell Dareus,DT,2TM,"$9,750,000",2017
Patrick Peterson,CB,ARI,"$9,750,000",2017
Duane Brown,G,2TM,"$9,400,000",2017
Vontae Davis,DB,IND,"$9,000,000",2017
Calais Campbell,DE,JAX,"$9,000,000",2017
Cordy Glenn,T,BUF,"$9,000,000",2017
Justin Pugh,OG,NYG,"$8,821,000",2017
Joe Thomas,T,CLE,"$8,800,000",2017
Damon Harrison,DT,NYG,"$8,750,000",2017
Randall Cobb,WR,GNB,"$8,600,000",2017
Byron Maxwell,DB,2TM,"$8,500,000",2017
Demaryius Thomas,WR,DEN,"$8,500,000",2017
Earl Thomas,DB,SEA,"$8,500,000",2017
Alec Ogletree,OLB,LAR,"$8,369,000",2017
Joe Staley,T,SFO,"$8,250,000",2017
Jordy Nelson,WR,GNB,"$8,250,000",2017
Ryan Kerrigan,DE,WAS,"$8,250,000",2017
Sheldon Richardson,DT,SEA,"$8,069,000",2017
Xavier Rhodes,CB,MIN,"$8,026,000",2017
Corey Liuget,DT,LAC,"$8,000,000",2017
T.Y. Hilton,WR,IND,"$8,000,000",2017
Mike Glennon,QB,CHI,"$8,000,000",2017
DeAndre Hopkins,WR,HOU,"$8,000,000",2017
Mike Iupati,G,ARI,"$8,000,000",2017
Mike Pouncey,OL,MIA,"$7,950,000",2017
Jimmy Graham,TE,SEA,"$7,900,000",2017
Lane Johnson,OT,PHI,"$7,750,000",2017
Maurkice Pouncey,C,PIT,"$7,500,000",2017
Tyrod Taylor,QB,BUF,"$7,500,000",2017
Andrew Whitworth,T,LAR,"$7,500,000",2017
Dontari Poe,DT,ATL,"$7,500,000",2017
Jason Witten,TE,DAL,"$7,400,000",2017
Chris Harris,CB,DEN,"$7,400,000",2017
Luke Kuechly,ILB,CAR,"$7,363,324",2017
Geno Atkins,DT,CIN,"$7,300,000",2017
Tyrone Crawford,DE,DAL,"$7,250,000",2017
Chandler Jones,DE,ARI,"$7,000,000",2017
Marvin Jones,WR,DET,"$7,000,000",2017
Cameron Jordan,DE,NOR,"$7,000,000",2017
Vinny Curry,DE,PHI,"$7,000,000",2017
Akiem Hicks,DE,CHI,"$7,000,000",2017
Allen Hurns,WR,JAX,"$7,000,000",2017
Dominique Rodgers-Cromartie,DB,NYG,"$6,980,000",2017
Pernell McPhee,DL,CHI,"$6,950,000",2017
Cameron Wake,LB,MIA,"$6,875,000",2017
Eric Fisher,OT,KAN,"$6,857,977",2017
Star Lotulelei,DT,CAR,"$6,757,000",2017
Emmanuel Sanders,WR,DEN,"$6,750,000",2017
Kelechi Osemele,T,OAK,"$6,700,000",2017
Bennie Logan,DT,KAN,"$6,680,000",2017
Vontaze Burfict,LB,CIN,"$6,535,529",2017
Brandon Graham,DE,PHI,"$6,500,000",2017
Nate Solder,T,NWE,"$6,500,000",2017
Johnathan Joseph,DB,HOU,"$6,500,000",2017
Kareem Jackson,DB,HOU,"$6,500,000",2017
Devin McCourty,DB,NWE,"$6,500,000",2017
DeSean Jackson,WR,TAM,"$6,500,000",2017
Greg Olsen,TE,CAR,"$6,500,000",2017
Jared Veldheer,T,ARI,"$6,500,000",2017
Jermey Parnell,T,JAX,"$6,500,000",2017
Rodney Hudson,OL,OAK,"$6,500,000",2017
Michael Bennett,DE,SEA,"$6,500,000",2017
Kyle Williams,DT,BUF,"$6,300,000",2017
Kyle Long,OT,CHI,"$6,250,000",2017
DeMarco Murray,RB,TEN,"$6,250,000",2017
Michael Crabtree,WR,OAK,"$6,250,000",2017
Riley Reiff,OT,MIN,"$6,200,000",2017
Brian Orakpo,LB,TEN,"$6,200,000",2017
Robert Quinn,DE,LAR,"$6,161,616",2017
Adam Jones,DB,CIN,"$6,023,529",2017
Buster Skrine,DB,NYJ,"$6,000,000",2017
Brent Grimes,DB,TAM,"$6,000,000",2017
Lavonte David,OLB,TAM,"$6,000,000",2017
Golden Tate,WR,DET,"$6,000,000",2017
Mohamed Sanu,WR,ATL,"$6,000,000",2017
Darian Stewart,DB,DEN,"$6,000,000",2017
Malcolm Jenkins,DB,PHI,"$6,000,000",2017
LeSean McCoy,RB,BUF,"$6,000,000",2017
Joe Flacco,QB,BAL,"$6,000,000",2017
Kevin Zeitler,G,CLE,"$6,000,000",2017
Kawann Short,DT,CAR,"$6,000,000",2017
