Player,Pos,Tm,Cap Hit,year
Kirk Cousins,QB,MIN,"$27,500,000",2019
Marcus Mariota,QB,TEN,"$20,922,000",2019
Jameis Winston,QB,TAM,"$20,922,000",2019
Derek Carr,QB,OAK,"$19,900,000",2019
Joe Flacco,QB,DEN,"$18,500,000",2019
Jimmy Garoppolo,QB,SFO,"$17,200,000",2019
Von Miller,LB,DEN,"$17,000,000",2019
Melvin Ingram,DE,LAC,"$17,000,000",2019
Mike Evans,WR,TAM,"$17,000,000",2019
Odell Beckham,WR,CLE,"$16,750,000",2019
Chandler Jones,DE,ARI,"$16,500,000",2019
Cam Newton,QB,CAR,"$16,200,000",2019
Andy Dalton,QB,CIN,"$16,000,000",2019
Jadeveon Clowney,DE,SEA,"$15,967,200",2019
Olivier Vernon,DE,CLE,"$15,250,000",2019
Grady Jarrett,DT,ATL,"$15,209,000",2019
Antonio Brown,WR,NWE,"$14,625,000",2019
Taylor Lewan,OT,TEN,"$14,500,000",2019
Leonard Williams,DT,2TM,"$14,200,000",2019
Tom Brady,QB,NWE,"$14,000,000",2019
Amari Cooper,WR,DAL,"$13,924,000",2019
Jason Pierre-Paul,DE,TAM,"$13,650,000",2019
Matthew Stafford,QB,DET,"$13,500,000",2019
Reshad Jones,DB,MIA,"$13,015,000",2019
Russell Okung,T,LAC,"$13,000,000",2019
J.J. Watt,DE,HOU,"$13,000,000",2019
Andrew Norwell,G,JAX,"$13,000,000",2019
A.J. Bouye,CB,JAX,"$13,000,000",2019
T.Y. Hilton,WR,IND,"$13,000,000",2019
Nate Solder,T,NYG,"$12,900,000",2019
Vic Beasley,OLB,ATL,"$12,810,000",2019
Darius Slay,CB,DET,"$12,550,000",2019
Brandon Scherff,G,WAS,"$12,525,000",2019
Kawann Short,DT,CAR,"$12,500,000",2019
Jarvis Landry,WR,CLE,"$12,500,000",2019
DeAndre Hopkins,WR,HOU,"$12,500,000",2019
Calais Campbell,DE,JAX,"$12,000,000",2019
Sammy Watkins,WR,KAN,"$11,950,000",2019
Alshon Jeffery,WR,PHI,"$11,750,000",2019
Eli Manning,QB,NYG,"$11,500,000",2019
Patrick Peterson,CB,ARI,"$11,000,000",2019
Larry Fitzgerald,WR,ARI,"$11,000,000",2019
Josh Norman,CB,WAS,"$11,000,000",2019
Philip Rivers,QB,LAC,"$11,000,000",2019
Terron Armstead,OT,NOR,"$10,700,000",2019
Jurrell Casey,DL,TEN,"$10,550,000",2019
Malcolm Butler,CB,TEN,"$10,500,000",2019
Bobby Wagner,ILB,SEA,"$10,500,000",2019
Ryan Kerrigan,DE,WAS,"$10,500,000",2019
Xavier Rhodes,CB,MIN,"$10,400,000",2019
Eric Fisher,OT,KAN,"$10,350,000",2019
Emmanuel Sanders,WR,2TM,"$10,250,000",2019
Andrew Whitworth,T,LAR,"$10,250,000",2019
Janoris Jenkins,CB,2TM,"$10,150,000",2019
Luke Kuechly,ILB,CAR,"$10,000,059",2019
Ryan Jensen,T,TAM,"$10,000,000",2019
Kevin Zeitler,G,NYG,"$10,000,000",2019
Keenan Allen,WR,LAC,"$10,000,000",2019
Tyron Smith,OT,DAL,"$10,000,000",2019
Zack Martin,G,DAL,"$10,000,000",2019
Joe Haden,DB,PIT,"$10,000,000",2019
Allen Robinson,WR,CHI,"$9,900,000",2019
Lavonte David,OLB,TAM,"$9,750,000",2019
Kelechi Osemele,T,NYJ,"$9,700,000",2019
D.J. Humphries,OT,ARI,"$9,625,000",2019
Andrus Peat,OT,NOR,"$9,625,000",2019
Julio Jones,WR,ATL,"$9,600,000",2019
Jimmy Smith,CB,BAL,"$9,500,000",2019
Logan Ryan,CB,TEN,"$9,500,000",2019
Desmond Trufant,CB,ATL,"$9,500,000",2019
Danielle Hunter,DE,MIN,"$9,400,000",2019
Riley Reiff,OT,MIN,"$9,400,000",2019
Nelson Agholor,WR,PHI,"$9,387,000",2019
Brandon Williams,DT,BAL,"$9,250,000",2019
Shaq Thompson,OLB,CAR,"$9,232,000",2019
Bud Dupree,DE,PIT,"$9,232,000",2019
Dre Kirkpatrick,CB,CIN,"$9,150,000",2019
Aaron Donald,DT,LAR,"$9,108,000",2019
Damarious Randall,FS,CLE,"$9,069,000",2019
Marcus Peters,CB,2TM,"$9,069,000",2019
Trae Waynes,CB,MIN,"$9,069,000",2019
Arik Armstead,DE,SFO,"$9,046,000",2019
Ricky Wagner,OT,DET,"$9,000,000",2019
Devin McCourty,DB,NWE,"$9,000,000",2019
Stefon Diggs,WR,MIN,"$8,900,000",2019
Linval Joseph,DT,MIN,"$8,900,000",2019
Cameron Heyward,DE,PIT,"$8,750,000",2019
Alex Mack,C,ATL,"$8,500,000",2019
David Bakhtiari,OT,GNB,"$8,500,000",2019
Prince Amukamara,CB,CHI,"$8,500,000",2019
Harrison Smith,FS,MIN,"$8,350,000",2019
Rodney Hudson,OL,OAK,"$8,250,000",2019
Ronald Leary,G,DEN,"$8,150,000",2019
Malcolm Jenkins,DB,PHI,"$8,100,000",2019
Joe Staley,T,SFO,"$8,050,000",2019
Geno Atkins,DT,CIN,"$8,000,000",2019
Aqib Talib,DB,LAR,"$8,000,000",2019
Akiem Hicks,DE,CHI,"$8,000,000",2019
Brandon Brooks,G,PHI,"$8,000,000",2019
Casey Hayward,DB,LAC,"$8,000,000",2019
Zach Ertz,TE,PHI,"$8,000,000",2019
Derek Wolfe,DT,DEN,"$8,000,000",2019
Sheldon Richardson,DT,CLE,"$8,000,000",2019
Duane Brown,T,SEA,"$8,000,000",2019
Cameron Jordan,DE,NOR,"$8,000,000",2019
Kelvin Beachum,T,NYJ,"$8,000,000",2019
Tony Jefferson,FS,BAL,"$8,000,000",2019
Trumaine Johnson,CB,NYJ,"$8,000,000",2019
Kenny Stills,WR,HOU,"$7,975,000",2019
Charles Leno,OG,CHI,"$7,900,000",2019
Mike Daniels,DT,DET,"$7,800,000",2019
Chris Harris,CB,DEN,"$7,800,000",2019
Michael Brockers,DT,LAR,"$7,777,777",2019
Larry Warford,OG,NOR,"$7,650,000",2019
Jabaal Sheard,DL,IND,"$7,500,000",2019
Travis Kelce,TE,KAN,"$7,500,000",2019
T.J. Carrie,CB,CLE,"$7,500,000",2019
Aaron Colvin,CB,2TM,"$7,500,000",2019
Kyle Rudolph,TE,MIN,"$7,275,000",2019
Marqise Lee,WR,JAX,"$7,250,000",2019
Cordy Glenn,T,CIN,"$7,250,000",2019
Star Lotulelei,DT,BUF,"$7,150,000",2019
David DeCastro,G,PIT,"$7,070,000",2019
Christian Kirksey,OLB,CLE,"$7,000,000",2019
Tyrone Crawford,DE,DAL,"$7,000,000",2019
Donovan Smith,OT,TAM,"$7,000,000",2019
Dont'a Hightower,ILB,NWE,"$7,000,000",2019
Marshal Yanda,G,BAL,"$7,000,000",2019
Richard Sherman,DB,SFO,"$7,000,000",2019
Cameron Brate,TE,TAM,"$7,000,000",2019
Albert Wilson,WR,MIA,"$6,975,000",2019
Jerry Hughes,DE,BUF,"$6,800,000",2019
Gabe Jackson,OG,OAK,"$6,750,000",2019
Damon Harrison,DT,DET,"$6,750,000",2019
Trey Burton,TE,CHI,"$6,700,000",2019
La'el Collins,OT,DAL,"$6,516,750",2019
Marvin Jones,WR,DET,"$6,500,000",2019
Zach Fulton,OG,HOU,"$6,500,000",2019
Jake Matthews,OT,ATL,"$6,500,000",2019
Mario Addison,DE,CAR,"$6,500,000",2019
Anthony Hitchens,OLB,KAN,"$6,500,000",2019
Joel Bitonio,OT,CLE,"$6,500,000",2019
Kiko Alonso,ILB,NOR,"$6,485,000",2019
Everson Griffen,DE,MIN,"$6,400,000",2019
Byron Jones,CB,DAL,"$6,266,000",2019
Anthony Castonzo,LT,IND,"$6,250,000",2019
Laurent Duvernay-Tardif,OT,KAN,"$6,203,000",2019
LeSean McCoy,RB,KAN,"$6,175,000",2019
Chris Hubbard,G,CLE,"$6,150,000",2019
DaQuan Jones,DT,TEN,"$6,000,000",2019
Stephon Tuitt,DT,PIT,"$6,000,000",2019
Mitchell Schwartz,T,KAN,"$6,000,000",2019
Robert Quinn,DE,DAL,"$6,000,000",2019
Mohamed Sanu,WR,2TM,"$6,000,000",2019
Travis Frederick,C,DAL,"$6,000,000",2019
Benardrick McKinney,ILB,HOU,"$6,000,000",2019
Robert Woods,WR,LAR,"$6,000,000",2019
Brian Winters,OG,NYJ,"$6,000,000",2019
Mike Pouncey,C,LAC,"$6,000,000",2019
Demario Davis,OLB,NOR,"$5,950,000",2019
Adam Thielen,WR,MIN,"$5,850,000",2019
Danny Trevathan,OLB,CHI,"$5,800,000",2019
Trent Murphy,DE,BUF,"$5,800,000",2019
Bryan Bulaga,T,GNB,"$5,800,000",2019
D.J. Hayden,CB,JAX,"$5,750,000",2019
Whitney Mercilus,DE,HOU,"$5,750,000",2019
David Johnson,RB,ARI,"$5,700,000",2019
Melvin Gordon,RB,LAC,"$5,605,000",2019
Bobby McCain,CB,MIA,"$5,600,000",2019
J.C. Tretter,OG,CLE,"$5,500,000",2019
Weston Richburg,C,SFO,"$5,500,000",2019
Greg Robinson,OT,CLE,"$5,500,000",2019
Brandon Linder,OG,JAX,"$5,500,000",2019
